Name;2010;2011;2012;2013;2014;
Shandong;39416;45429;50013;54684;59427;
Hebei;20197;24228;26575;28301;29421;
Guangdong;45473;52674;57068;62164;67792;
Jiangsu;40903;48604;54058;59162;65088;
Zhejiang;27227;32000;34606;37569;40154;
Henan;22943;27232;29810;32156;34939;
Liaoning;18278;22026;24801;27078;28627;
Sichuan;16899;21027;23850;26261;28537;
Hubei;15806;19594;22250;24669;27367;
Hunan;15902;19635;22154;24502;27048;
Shanxi;9088;11100;12113;12602;12759;
Neimenggu;11655;14246;15988;16832;17770;
Jilin;8577;10531;11938;12982;13804;
Heilongjiang;10235;12504;13692;14383;15039;
Anhui;12263;15110;17212;19039;20849;
Fujian;14357;17410;19702;21760;24056;
Jiangxi;9435;11584;12948;14339;15709;
Guangxi;9502;11714;13031;14378;15673;
Hainan;2052;2515;2855;3147;3501;
Guizhou;4594;5702;6802;8007;9251;
Yunnan;7220;8751;10310;11721;12815;
shanxi;10022;12391;14451;16045;17690;
Gansu;4119;5000;5650;6268;6835;
Qinghai;1350;1636;1885;2101;2301;
Ningxia;1643;2061;2327;2565;2752;
Xinjiang;5419;6475;7466;8360;9264;
Xizang;507;606;696;808;921;
