Name;First Quarter;Second Quarter;Third Quarter;Fourth Quarter;
Shandong;7672;10974;9616;11154;9050;12831;11150;12398;10089;14029;12117;13778;11076;14882;13644;15082;11995;16085;14734;16613
Hebei;3665;5419;5557;5556;4396;6596;6830;6406;4920;7299;7363;6993;5312;7843;7792;7354;5427;8213;8070;7711
Guangdong;9129;10540;11873;13931;10550;12871;13532;15721;11511;14690;14485;16382;12613;15853;16006;17692;13637;17242;17251;19662
Jiangsu;8204;10910;10238;11551;9902;13016;12195;13491;10881;14502;13413;15262;11881;15723;14330;17228;12893;17222;15528;19445
Zhejiang;5363;6399;7003;8462;6311;8343;7973;9373;6725;9065;8425;10391;7262;9692;9241;11374;7768;10210;9844;12332
Henan;4752;5709;6477;6005;5615;6790;7965;6862;6429;7102;8640;7639;6994;7563;8959;8640;7457;8322;9666;9494
Liaoning;3555;4651;4850;5222;4246;5702;5761;6317;4812;6416;6416;7157;5296;7039;6929;7814;5664;7543;7155;8265
Sichuan;3452;4014;4862;4571;4258;5113;6097;5559;4943;5661;6933;6313;5437;6218;7484;7122;5879;6818;7985;7855
Hubei;2934;3963;4197;4712;3592;4979;5007;6016;4234;5651;5505;6860;4699;6250;6151;7569;5137;6925;6812;8493
Hunan;2956;3849;3778;5319;3647;5116;4862;6010;4219;5690;5430;6815;4659;6263;5992;7588;5043;6932;6556;8517
Shanxi;1808;2335;2120;2825;2201;2933;2773;3193;2494;3292;2927;3400;2610;3407;3012;3573;2632;3466;3012;3649
Neimenggu;1982;2708;3069;3896;2392;3413;3767;4674;2704;3969;4130;5185;2944;4144;4250;5494;3161;4178;4370;6061
Jilin;1444;1736;2102;3295;1708;2182;2637;4004;1972;2466;2945;4555;2166;2642;3207;4967;2305;2837;3307;5355
Heilongjiang;1860;2342;2248;3785;2180;2887;2769;4668;2461;2956;2975;5300;2609;2936;3204;5634;2645;3027;3315;6052
Anhui;2303;3234;3284;3442;2843;4040;4195;4032;3289;4493;4734;4696;3652;4939;5023;5425;3971;5380;5359;6139
Fujian;2340;3388;3357;5272;2931;4112;3987;6380;3312;4671;4488;7231;3713;5142;5033;7872;4038;5696;5479;8843
Jiangxi;1755;2246;2532;2902;2161;2771;3155;3497;2456;2948;3600;3944;2712;3190;3972;4465;2948;3517;4333;4911
Guangxi;1846;1987;2197;3472;2248;2472;2718;4276;2547;2783;2966;4735;2779;3031;3197;5371;3014;3314;3464;5881
Hainan;480;538;482;552;576;646;596;697;653;718;655;829;735;782;708;922;815;861;778;1047
Guizhou;701;1155;1105;1633;850;1428;1355;2069;1071;1720;1609;2402;1232;2018;1861;2896;1421;2359;2390;3081
Yunnan;1490;1548;1767;2415;1739;1864;2170;2978;1992;2174;2534;3610;2260;2381;2905;4175;2455;2555;3202;4603
shanxi;1937;2326;2480;3279;2343;2874;3017;4157;2756;3360;3452;4883;3069;3709;3801;5466;3339;4084;4144;6123
Gansu;732;834;1251;1302;883;1058;1530;1529;1013;1139;1652;1846;1065;1285;1810;2108;1098;1393;1940;2404
Qinghai;240;327;362;421;288;401;442;504;322;476;501;586;357;532;543;669;389;577;575;760
Ningxia;282;374;502;485;335;477;630;619;386;545;675;721;416;592;750;807;443;629;808;872
Xinjiang;744;974;1865;1836;921;1267;2206;2081;1049;1445;2427;2545;1157;1614;2680;2909;1262;1745;2877;3380
Xizang;87;116;151;153;115;136;184;171;133;154;212;197;153;177;246;232;172;197;293;259

