Name;2010;2011;2012;2013;2014;
Shandong;9588;9637;9685;9733;9082;
Hebei;7194;7241;7288;7333;6735;
Guangdong;10441;10505;10594;10644;7859;
Jiangsu;7869;7899;7920;7939;7381;
Zhejiang;5447;5463;5477;5498;4647;
Henan;9405;9388;9406;9413;9613;
Liaoning;4375;4383;4389;4390;4203;
Sichuan;8045;8050;8076;8107;8673;
Hubei;5728;5758;5779;5799;5988;
Hunan;6570;6596;6394;6691;6629;
Shanxi;3574;3593;3611;3630;3294;
Neimenggu;2472;2482;2490;2498;2379;
Jilin;2747;2749;2750;2751;2699;
Heilongjiang;3833;3834;3834;3835;3813;
Anhui;5957;5968;5988;6030;6338;
Fujian;3693;3720;3748;3774;3466;
Jiangxi;4462;4488;4504;4522;4222;
Guangxi;4610;4645;4682;4719;4822;
Hainan;869;877;887;895;803;
Guizhou;3497;3469;3484;3502;3837;
Yunnan;4602;4631;4659;4687;4333;
shanxi;3753;3743;3753;3764;3674;
Gansu;2560;2564;2578;2582;2593;
Qinghai;563;568;573;578;529;
Ningxia;633;639;647;654;572;
Xinjiang;2185;2209;2233;2264;1905;
Xizang;300;303;308;312;267;
